module_id,module_code,module_title,department,primary_lead_name,omission_reason,description_preview,gap_aspect_count
module_7d47436af69de0f1,EN2616,EN2616 - Literature and Revolution: Romanticism,Department of Arts and Humanities,Dr Inge Dornan,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"The political events of the late eighteenth century – the American War of Independence, French Revolution, and Napoleonic wars – dramatically changed lives, ide...",0
module_7d9e0f616537ab93,EN2618,EN2618 - Contemporary Fiction: Britain and Ireland,Department of Arts and Humanities,Dr Emily Horton,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module introduces students to a range of contemporary British and Irish fiction, developing knowledge of the variety and complexity of contemporary writing...",0
module_7e407abbe9fca189,,Nursing Practice Module for Year 1,Department of Health Sciences,Dr Allison Wiseman,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module is supported by the Pan London Practice Assessment Document (PLPAD) which is designed to support and guide students towards successfully achieving t...,0
module_7e50179b3f92b2a1,NURSINGPRACTICEFORPART1,Nursing Practice for Part 1,Department of Health Sciences,Dr Allison Wiseman,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module will introduce the nursing student to the care environment, under supervision, in which the essentials of caring skills are delivered. The practice ...",0
module_7e58484e8d72bfbb,SP5503,SP5503 - Professional Development,Department of Life Sciences,Dr Rebecca Hings,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module aims to enable students to pursue an area of interest that is relevant to their professional development, have the opportunity to negotiate, manage ...",0
module_7f8c9b01b2d9914f,SA2619,SA2619 - War and Humanitarianism,"Department of Social Sciences, Media and Communications",Dr Isak Niehaus,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module aims to provide students with a critical understanding of the main themes in the anthropology of war and humanitarian assistance. These include the ...,0
module_80f3998f734a9480,SW5633,SW5633 Advanced Practice Skills,Department of Health Sciences,Dr Yohai Hakak,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module teaches students how to respond to crises and complex issues in practice. The module uses role play scenarios and critical thinking exercises to pre...,0
module_813f04673ad4632b,ME0080,Material Science,Department of Mechanical and Aerospace Engineering,Dr Giulio Alfano,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module aims to introduce students to materials engineering theory through looking at a range of materials topics. The laboratories will reinforce the theor...,0
module_81cb409072b4b6a2,"PHYSICALACTIVITY,HEALTHANDWELLBEINGINTHELIFECOURSE","Physical Activity, Health and Wellbeing in the Lifecourse",Department of Life Sciences,Dr Charlotte Kerner,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module examines how physical activity contributes to health and wellbeing across different stages of life. Students will explore theoretical frameworks and...,0
module_834282a4dee6e30b,CE3619,CE3619 - Design of Steel and Timber Structures,Department of Civil and Environmental Engineering,Dr Muhammad Shafique,Saturated / Fully Covered by Primary Lead,"*To further develop students’ understanding, and application, of the key principles of limit state design. * To introduce students to the principles of prelimin...",1
module_83aa382423ed5839,,Group Project,Department of Computer Science,Dr Steven Sam,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"The group project aims to integrate skills covered by the Year 1/Level 4 modules into a non-trivial, practical group task including a significant degree of prog...",0
module_84428b1e94417c53,SP26II,"Pedagogy, Social Psychology and Learning in Sport",Department of Life Sciences,Dr Rebecca Hings,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module enables students to develop their understanding of physical literacy as well as effective learning environments and motivational climates that suppo...,0
module_845081480552b27b,,Thermodynamics and Heat Transfer,Department of Mechanical and Aerospace Engineering,Professor Tassos Karayiannis,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module introduces new fundamental concepts of thermodynamics and apply to relevant thermal power and heating/cooling systems. Students learn basic concepts...,0
